FABRICANTE,CODIGO_PECA,DESCRICAO,CHAVE_DE_BUSCA,MARCA_VEICULO,MODELO_VEICULO,ANOS_APLICACAO,CONTEXTO_IA
AXIOS,110377,BUCHA DO BRACO GUIA DO EIXO TRASEIRO,VOLKSWAGEN GOL 83/14,VOLKSWAGEN,GOL,1983 a 2014,BUCHA DO BRACO GUIA DO EIXO TRASEIRO compatível com VOLKSWAGEN GOL. Aplicação: 1983 a 2014. Fabricante: AXIOS. Código: 110377.
AXIOS,110377,BUCHA DO BRACO GUIA DO EIXO TRASEIRO,VOLKSWAGEN VOYAGE 81/95,VOLKSWAGEN,VOYAGE,1981 a 1995,BUCHA DO BRACO GUIA DO EIXO TRASEIRO compatível com VOLKSWAGEN VOYAGE. Aplicação: 1981 a 1995. Fabricante: AXIOS. Código: 110377.
AXIOS,110377,BUCHA DO BRACO GUIA DO EIXO TRASEIRO,VOLKSWAGEN PARATI 81/95,VOLKSWAGEN,PARATI,1981 a 1995,BUCHA DO BRACO GUIA DO EIXO TRASEIRO compatível com VOLKSWAGEN PARATI. Aplicação: 1981 a 1995. Fabricante: AXIOS. Código: 110377.
AXIOS,110377,BUCHA DO BRACO GUIA DO EIXO TRASEIRO,VOLKSWAGEN SAVEIRO 82/97,VOLKSWAGEN,SAVEIRO,1982 a 1997,BUCHA DO BRACO GUIA DO EIXO TRASEIRO compatível com VOLKSWAGEN SAVEIRO. Aplicação: 1982 a 1997. Fabricante: AXIOS. Código: 110377.
AXIOS,110428,BUCHA BANDEJA INFER/SUPE CENT DIANTEIRA,FORD DEL REY 11-84/86,FORD,DEL REY 11-,1984 a 1986,BUCHA BANDEJA INFER/SUPE CENT DIANTEIRA compatível com FORD DEL REY 11-. Aplicação: 1984 a 1986. Fabricante: AXIOS. Código: 110428.
AXIOS,110428,BUCHA BANDEJA INFER/SUPE CENT DIANTEIRA,FORD PAMPA 11-84/97,FORD,PAMPA 11-,1984 a 1997,BUCHA BANDEJA INFER/SUPE CENT DIANTEIRA compatível com FORD PAMPA 11-. Aplicação: 1984 a 1997. Fabricante: AXIOS. Código: 110428.
AXIOS,110428,BUCHA BANDEJA INFER/SUPE CENT DIANTEIRA,FORD CORCEL II 11-84/86,FORD,CORCEL II 11-,1984 a 1986,BUCHA BANDEJA INFER/SUPE CENT DIANTEIRA compatível com FORD CORCEL II 11-. Aplicação: 1984 a 1986. Fabricante: AXIOS. Código: 110428.
AXIOS,110428,BUCHA BANDEJA INFER/SUPE CENT DIANTEIRA,FORD BELINA II 11-84/86,FORD,BELINA II 11-,1984 a 1986,BUCHA BANDEJA INFER/SUPE CENT DIANTEIRA compatível com FORD BELINA II 11-. Aplicação: 1984 a 1986. Fabricante: AXIOS. Código: 110428.
AXIOS,110428,BUCHA BANDEJA INFER/SUPE CENT DIANTEIRA,FORD SCALA 11-84/86,FORD,SCALA 11-,1984 a 1986,BUCHA BANDEJA INFER/SUPE CENT DIANTEIRA compatível com FORD SCALA 11-. Aplicação: 1984 a 1986. Fabricante: AXIOS. Código: 110428.
AXIOS,110438,BUCHA DO BRACO TENSOR DIANTEIRO,FIAT UNO 85/,FIAT,UNO,1985,BUCHA DO BRACO TENSOR DIANTEIRO compatível com FIAT UNO. Aplicação: 1985. Fabricante: AXIOS. Código: 110438.
AXIOS,110438,BUCHA DO BRACO TENSOR DIANTEIRO,FIAT PREMIO 85/,FIAT,PREMIO,1985,BUCHA DO BRACO TENSOR DIANTEIRO compatível com FIAT PREMIO. Aplicação: 1985. Fabricante: AXIOS. Código: 110438.
AXIOS,110438,BUCHA DO BRACO TENSOR DIANTEIRO,FIAT FIORINO FIORUNO 85/,FIAT,FIORINO FIORUNO,1985,BUCHA DO BRACO TENSOR DIANTEIRO compatível com FIAT FIORINO FIORUNO. Aplicação: 1985. Fabricante: AXIOS. Código: 110438.
AXIOS,110438,BUCHA DO BRACO TENSOR DIANTEIRO,FIAT UNO MILLE 91/,FIAT,UNO MILLE,1991,BUCHA DO BRACO TENSOR DIANTEIRO compatível com FIAT UNO MILLE. Aplicação: 1991. Fabricante: AXIOS. Código: 110438.
AXIOS,110438,BUCHA DO BRACO TENSOR DIANTEIRO,FIAT ELBA REGATTA WEEKEND 85/,FIAT,ELBA REGATTA WEEKEND,1985,BUCHA DO BRACO TENSOR DIANTEIRO compatível com FIAT ELBA REGATTA WEEKEND. Aplicação: 1985. Fabricante: AXIOS. Código: 110438.
AXIOS,110450,BUCHA BANDEJA DIANTEIRA MENOR,VOLKSWAGEN VOYAGE 83/89,VOLKSWAGEN,VOYAGE,1983 a 1989,BUCHA BANDEJA DIANTEIRA MENOR compatível com VOLKSWAGEN VOYAGE. Aplicação: 1983 a 1989. Fabricante: AXIOS. Código: 110450.
AXIOS,110450,BUCHA BANDEJA DIANTEIRA MENOR,VOLKSWAGEN PASSAT 81/89,VOLKSWAGEN,PASSAT,1981 a 1989,BUCHA BANDEJA DIANTEIRA MENOR compatível com VOLKSWAGEN PASSAT. Aplicação: 1981 a 1989. Fabricante: AXIOS. Código: 110450.
AXIOS,110450,BUCHA BANDEJA DIANTEIRA MENOR,VOLKSWAGEN PARATI 83/89,VOLKSWAGEN,PARATI,1983 a 1989,BUCHA BANDEJA DIANTEIRA MENOR compatível com VOLKSWAGEN PARATI. Aplicação: 1983 a 1989. Fabricante: AXIOS. Código: 110450.
AXIOS,110450,BUCHA BANDEJA DIANTEIRA MENOR,VOLKSWAGEN SAVEIRO 82/87,VOLKSWAGEN,SAVEIRO,1982 a 1987,BUCHA BANDEJA DIANTEIRA MENOR compatível com VOLKSWAGEN SAVEIRO. Aplicação: 1982 a 1987. Fabricante: AXIOS. Código: 110450.
